#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
66.0%	330000	659.9999999982168	-103653.33657131893	25868.157883299737	-77785.1786880192	325.97037762496916	192.0	0.8610582889713119	38.8	12:37
68.0%	340000	679.9999999977439	-103650.99966715537	25066.79542284756	-78584.20424430781	315.8722320582641	192.0	0.8610582889713119	38.8	11:52
70.0%	350000	699.999999997271	-103010.12681454557	25915.761227649808	-77094.36558689576	326.57023789348955	192.0	0.8610582889713119	38.8	11:07
72.0%	360000	719.999999996798	-102866.84815354506	25363.20662895341	-77503.64152459164	319.60737521080273	192.0	0.8610582889713119	38.8	10:22
74.0%	370000	739.9999999963251	-102874.79304938762	25867.01498571509	-77007.77806367254	325.95597571978004	192.0	0.8610582889713119	38.9	9:38
76.0%	380000	759.9999999958521	-102908.08364555346	25650.023520998027	-77258.06012455543	323.22161829029795	192.0	0.8610582889713119	38.9	8:53
78.0%	390000	779.9999999953792	-102572.11743553617	25434.674403156117	-77137.44303238005	320.5079564369562	192.0	0.8610582889713119	38.9	8:08
80.0%	400000	799.9999999949063	-102925.52218060475	26039.03927148143	-76886.48290912333	328.1236917838651	192.0	0.8610582889713119	38.9	7:24
82.0%	410000	819.9999999944333	-102594.07205401508	25671.12466822941	-76922.94738578566	323.48751851258527	192.0	0.8610582889713119	38.9	6:39
84.0%	420000	839.9999999939604	-102224.86849862862	25727.117088724513	-76497.75140990411	324.193091384657	192.0	0.8610582889713119	38.9	5:55
86.0%	430000	859.9999999934874	-102167.21943508803	25852.894642634616	-76314.32479245341	325.77804215423964	192.0	0.8610582889713119	38.9	5:10
88.0%	440000	879.9999999930145	-103192.45080733292	25498.38530918257	-77694.06549815035	321.3107916519709	192.0	0.8610582889713119	38.9	4:26
90.0%	450000	899.9999999925416	-102941.54167344108	25767.214497916997	-77174.32717552409	324.6983677044948	192.0	0.8610582889713119	39	3:41
92.0%	460000	919.9999999920686	-102879.67490983293	25646.705617206913	-77232.96929262602	323.1798086509494	192.0	0.8610582889713119	39	2:57
94.0%	470000	939.9999999915957	-102767.46781839346	25696.50582803469	-77070.96199035877	323.80735211974087	192.0	0.8610582889713119	39	2:12
96.0%	480000	959.9999999911228	-102066.28794629434	25719.888376287112	-76346.39957000723	324.10200078077276	192.0	0.8610582889713119	39	1:28
98.0%	490000	979.9999999906498	-102679.75717854047	25378.70293236095	-77301.05424617953	319.8026475566859	192.0	0.8610582889713119	39	0:44
100.0%	500000	999.9999999901769	-102359.67040475259	26047.920417871974	-76311.7499868806	328.23560507339	192.0	0.8610582889713119	39	0:00
