# x(nm)	average	StDev
# 
2.343999999999999861e+00	1.060499999999999998e+00	2.291287847477934108e-03
2.358999999999999986e+00	1.059750000000000192e+00	1.479019945774919355e-03
2.375000000000000000e+00	1.059000000000000163e+00	1.000000000000000888e-03
2.391000000000000014e+00	1.059499999999999886e+00	1.658312395177701437e-03
2.406000000000000139e+00	1.058749999999999858e+00	1.299038105676696532e-03
2.422000000000000153e+00	1.058499999999999996e+00	1.118033988749920745e-03
2.438000000000000167e+00	1.057749999999999968e+00	8.291561975888590667e-04
2.452999999999999847e+00	1.057999999999999829e+00	2.121320343559644599e-03
2.468999999999999861e+00	1.057249999999999801e+00	2.165063509461101834e-03
2.483999999999999986e+00	1.056999999999999940e+00	2.915475947422652755e-03
2.500000000000000000e+00	1.056750000000000078e+00	3.561951712193753023e-03
2.516000000000000014e+00	1.055749999999999966e+00	3.561951712193756926e-03
2.531000000000000139e+00	1.054750000000000076e+00	3.561951712193753023e-03
2.547000000000000153e+00	1.054000000000000048e+00	2.915475947422652755e-03
2.561999999999999833e+00	1.053250000000000242e+00	3.269174207655544361e-03
2.577999999999999847e+00	1.052750000000000075e+00	2.861380785564894558e-03
2.593999999999999861e+00	1.051749999999999963e+00	2.586020108197111932e-03
2.608999999999999986e+00	1.052000000000000046e+00	2.738612787525812869e-03
2.625000000000000000e+00	1.051750000000000185e+00	2.487468592766560720e-03
2.641000000000000014e+00	1.051000000000000156e+00	2.121320343559644599e-03
2.656000000000000139e+00	1.050750000000000073e+00	2.165063509461095329e-03
2.672000000000000153e+00	1.050249999999999906e+00	2.487468592766588476e-03
2.688000000000000167e+00	1.048999999999999932e+00	2.549509756796351431e-03
2.702999999999999847e+00	1.048000000000000043e+00	2.236067977499792050e-03
2.718999999999999861e+00	1.047000000000000153e+00	2.738612787525853201e-03
2.733999999999999986e+00	1.046499999999999986e+00	2.692582403567223264e-03
2.750000000000000000e+00	1.046250000000000124e+00	2.680951323690876180e-03
2.766000000000000014e+00	1.045749999999999957e+00	2.487468592766560720e-03
2.781000000000000139e+00	1.045250000000000012e+00	2.680951323690932992e-03
2.797000000000000153e+00	1.044499999999999984e+00	2.958039891549810955e-03
2.811999999999999833e+00	1.044249999999999901e+00	2.861380785564894558e-03
2.827999999999999847e+00	1.043250000000000011e+00	2.487468592766515618e-03
2.843999999999999861e+00	1.042999999999999927e+00	2.549509756796351431e-03
2.858999999999999986e+00	1.042749999999999844e+00	2.586020108197106728e-03
2.875000000000000000e+00	1.042999999999999927e+00	2.345207879911693181e-03
2.891000000000000014e+00	1.042499999999999982e+00	2.061552812808872641e-03
2.906000000000000139e+00	1.042499999999999982e+00	1.499999999999982901e-03
2.922000000000000153e+00	1.041749999999999954e+00	1.479019945774919355e-03
2.938000000000000167e+00	1.041499999999999870e+00	1.118033988749871088e-03
2.952999999999999847e+00	1.040999999999999925e+00	1.581138830084191215e-03
2.968999999999999861e+00	1.040499999999999758e+00	1.118033988749920745e-03
2.983999999999999986e+00	1.040249999999999897e+00	1.920286436967121339e-03
3.000000000000000000e+00	1.040000000000000036e+00	1.414213562373096327e-03
3.016000000000000014e+00	1.040000000000000036e+00	1.414213562373096327e-03
3.031000000000000139e+00	1.039250000000000007e+00	1.299038105676707158e-03
3.047000000000000153e+00	1.039499999999999869e+00	1.500000000000019981e-03
3.061999999999999833e+00	1.038749999999999840e+00	1.785357107135671431e-03
3.077999999999999847e+00	1.038499999999999979e+00	1.802775637731950098e-03
3.093999999999999861e+00	1.038000000000000034e+00	1.414213562373096327e-03
3.108999999999999986e+00	1.037500000000000089e+00	1.118033988749871088e-03
3.125000000000000000e+00	1.036999999999999922e+00	1.224744871391544908e-03
3.141000000000000014e+00	1.036499999999999977e+00	1.118033988749920745e-03
3.156000000000000139e+00	1.036249999999999893e+00	1.299038105676696316e-03
3.172000000000000153e+00	1.036250000000000115e+00	1.785357107135733448e-03
3.188000000000000167e+00	1.035499999999999865e+00	2.061552812808845753e-03
3.202999999999999847e+00	1.035000000000000142e+00	1.581138830084191215e-03
3.218999999999999861e+00	1.035250000000000004e+00	1.479019945774919355e-03
3.233999999999999986e+00	1.035000000000000142e+00	1.224744871391635331e-03
3.250000000000000000e+00	1.034999999999999920e+00	1.581138830084191215e-03
3.266000000000000014e+00	1.034749999999999837e+00	1.299038105676696532e-03
3.281000000000000139e+00	1.034000000000000030e+00	1.224744871391544908e-03
3.297000000000000153e+00	1.034000000000000030e+00	1.224744871391544908e-03
3.311999999999999833e+00	1.033749999999999947e+00	1.089724735885137363e-03
3.327999999999999847e+00	1.032999999999999918e+00	1.224744871391635547e-03
3.343999999999999861e+00	1.032499999999999973e+00	8.660254037844395628e-04
3.358999999999999986e+00	1.032000000000000028e+00	1.224744871391544908e-03
3.375000000000000000e+00	1.031750000000000167e+00	1.089724735885137579e-03
3.391000000000000014e+00	1.031000000000000139e+00	1.000000000000000888e-03
3.406000000000000139e+00	1.030750000000000055e+00	1.299038105676696316e-03
3.422000000000000153e+00	1.030249999999999888e+00	1.299038105676696532e-03
3.438000000000000167e+00	1.030249999999999888e+00	1.299038105676696532e-03
3.452999999999999847e+00	1.030499999999999972e+00	1.118033988749920745e-03
3.468999999999999861e+00	1.029999999999999805e+00	1.000000000000000888e-03
3.483999999999999986e+00	1.029749999999999943e+00	8.291561975888590667e-04
3.500000000000000000e+00	1.030249999999999888e+00	1.299038105676696532e-03
3.516000000000000014e+00	1.030000000000000027e+00	1.224744871391635547e-03
3.531000000000000139e+00	1.029499999999999860e+00	1.118033988749871088e-03
3.547000000000000153e+00	1.029249999999999998e+00	8.291561975888590667e-04
3.561999999999999833e+00	1.029000000000000137e+00	1.000000000000000888e-03
3.577999999999999847e+00	1.029000000000000137e+00	1.000000000000000888e-03
3.593999999999999861e+00	1.029000000000000137e+00	1.000000000000000888e-03
3.608999999999999986e+00	1.028250000000000108e+00	1.479019945774891166e-03
3.625000000000000000e+00	1.028000000000000025e+00	1.581138830084191215e-03
3.641000000000000014e+00	1.028000000000000025e+00	1.224744871391544908e-03
3.656000000000000139e+00	1.027749999999999941e+00	1.639359631075505827e-03
3.672000000000000153e+00	1.027499999999999858e+00	1.500000000000019764e-03
3.688000000000000167e+00	1.027249999999999996e+00	1.920286436967128495e-03
3.702999999999999847e+00	1.026499999999999968e+00	1.499999999999982901e-03
3.718999999999999861e+00	1.026250000000000107e+00	1.479019945774891383e-03
3.733999999999999986e+00	1.026000000000000023e+00	1.870828693387002056e-03
3.750000000000000000e+00	1.026000000000000023e+00	1.870828693387002056e-03
3.766000000000000014e+00	1.025249999999999773e+00	2.046338192968069885e-03
3.781000000000000139e+00	1.024750000000000050e+00	1.920286436967121339e-03
3.797000000000000153e+00	1.024750000000000050e+00	1.920286436967121339e-03
3.811999999999999833e+00	1.024000000000000021e+00	2.236067977499791616e-03
3.827999999999999847e+00	1.023749999999999938e+00	1.920286436967186391e-03
3.843999999999999861e+00	1.024000000000000021e+00	2.236067977499791616e-03
3.858999999999999986e+00	1.023749999999999938e+00	2.384848003542345846e-03
3.875000000000000000e+00	1.023249999999999993e+00	2.586020108197111932e-03
3.891000000000000014e+00	1.022999999999999909e+00	2.738612787525812869e-03
3.906000000000000139e+00	1.022749999999999826e+00	2.046338192968158356e-03
3.922000000000000153e+00	1.022999999999999909e+00	1.870828693387002056e-03
3.938000000000000167e+00	1.022250000000000103e+00	1.785357107135671431e-03
3.952999999999999847e+00	1.022499999999999964e+00	1.802775637731950098e-03
3.968999999999999861e+00	1.022499999999999964e+00	1.802775637731950098e-03
3.983999999999999986e+00	1.022499999999999964e+00	2.291287847477934108e-03
4.000000000000000000e+00	1.022499999999999964e+00	2.692582403567305663e-03
