# nm	x_force	y_force	z_force	magnitude_x-y_force
# 
-1.005445147894846042e-01	-7.595036497771240347e-01	1.430450804886978844e+00	-5.380143345020032442e+00	2.854391172279009652e+02
-8.054451478948461418e-02	3.902560663795767715e-01	-1.644238522557191606e+00	-7.004509541217242230e+00	2.829608948355326561e+02
-6.054451478948461030e-02	-9.582143150876446525e-01	9.336718608714678069e-01	-5.151024865120598761e+00	2.820686559204530113e+02
-4.054451478948460641e-02	-2.344926397529213946e-01	-6.465373052923303332e-01	-7.468732438421820774e+00	2.812467121027919461e+02
-2.054451478948460599e-02	-1.299628761857284598e+00	-5.397882232145028158e-01	-8.557074700827730140e+00	2.794152660498175464e+02
-5.445147894846055769e-04	7.713429582784711025e-01	-1.629261378296484875e-01	-1.252706725411814936e+01	2.722976789584064932e+02
1.945548521051539484e-02	2.189728905621041832e+00	3.631559205296791326e+00	-1.144593081077531238e+01	2.725226906309969195e+02
3.945548521051539526e-02	3.177254446301594815e+00	5.145425648336451330e-01	-1.238263029434005524e+01	2.704961518448526476e+02
5.945548521051539914e-02	3.386436252470114150e-01	-8.741152800039662107e-01	-1.328495684063594595e+01	2.679188108738374012e+02
7.945548521051538915e-02	-2.344215160778235330e+00	-7.327375944258370799e-01	-1.500857484479864468e+01	2.639540864701163514e+02
9.945548521051539304e-02	2.235827795028034082e+00	2.942034318962724271e+00	-1.903239862696501206e+01	2.600250223893625616e+02
1.194554852105153969e-01	9.207598269112772238e-01	1.380750849345209863e+00	-2.089255756954171517e+01	2.590390723875613048e+02
1.394554852105154008e-01	-4.113688339678440720e+00	-3.213988787710793105e-01	-2.434572966396487459e+01	2.532005328503826433e+02
1.594554852105154186e-01	2.960673185859707957e+00	4.053189217570745684e-01	-2.342004664149312276e+01	2.527490259423888119e+02
1.794554852105154086e-01	-2.108051729141525499e+00	-1.424529097477560180e+00	-2.479240541076304893e+01	2.495969616500763948e+02
1.994554852105153986e-01	-2.867307403022925527e+00	-1.452004449049289381e+00	-1.935276084435658817e+01	2.484526695590680561e+02
2.194554852105154163e-01	3.804181558557996556e+00	-1.317380018761162841e+00	-2.821247748454678828e+01	2.469876812584869015e+02
2.394554852105154064e-01	-2.332173920701372971e+00	-2.406854027560435760e+00	-2.776966182847237263e+01	2.427215279058827093e+02
