# x(nm^-1)	average	StDev
# 
1.950999999999999956e-02	9.120249999999999288e-05	5.610973066233698575e-06
1.941999999999999976e-02	9.161999999999999355e-05	5.230406293969903330e-06
1.932000000000000037e-02	9.205499999999999870e-05	7.292189314602303343e-06
1.923000000000000057e-02	9.131250000000000369e-05	3.815438212053762078e-06
1.914000000000000076e-02	8.760000000000000154e-05	4.151951348462550642e-06
1.905000000000000096e-02	8.630750000000000672e-05	2.647993344024868348e-06
1.896000000000000116e-02	8.912249999999998569e-05	8.043712995252877854e-06
1.887000000000000136e-02	9.526500000000000354e-05	7.347007894374414152e-06
1.878000000000000155e-02	8.995500000000000186e-05	3.567789932156883067e-06
1.868999999999999828e-02	8.933500000000001119e-05	3.381201709451833712e-06
1.859999999999999848e-02	8.730750000000000392e-05	4.159701762145936575e-06
1.851999999999999827e-02	8.775000000000000519e-05	3.400536722342517151e-06
1.842999999999999847e-02	9.237499999999999563e-05	5.574766811266635346e-06
1.835000000000000173e-02	8.718000000000000217e-05	3.727619884054699931e-06
1.825999999999999845e-02	8.927000000000000419e-05	7.306962433186582806e-06
1.818000000000000171e-02	8.524250000000000251e-05	4.504888317150605559e-06
1.810000000000000150e-02	8.676999999999999763e-05	8.234066431599878431e-06
1.802000000000000129e-02	8.731000000000000262e-05	5.697464348286877282e-06
1.794000000000000108e-02	8.737749999999999478e-05	5.941461836114073993e-06
1.786000000000000087e-02	9.286250000000000071e-05	6.536250358577154826e-06
1.778000000000000067e-02	8.809750000000001499e-05	3.395610217619210568e-06
1.770000000000000046e-02	8.742499999999999729e-05	3.506633000472104273e-06
1.762000000000000025e-02	8.687000000000001361e-05	4.510925625633833457e-06
1.754000000000000004e-02	8.858500000000000651e-05	4.944681486203133146e-06
1.746999999999999942e-02	8.864999999999999996e-05	6.304470635985227054e-06
1.738999999999999921e-02	8.918499999999999399e-05	6.843396452055074753e-06
1.731999999999999859e-02	9.075249999999999550e-05	6.709837460773548233e-06
1.723999999999999838e-02	8.764249999999999309e-05	4.048026525357754965e-06
1.717000000000000123e-02	8.600500000000000072e-05	4.034752160913976497e-06
1.709000000000000102e-02	8.254249999999999110e-05	5.899183735907874653e-06
1.702000000000000041e-02	8.414750000000000029e-05	3.273861443311245759e-06
1.694999999999999979e-02	8.749000000000000429e-05	3.134589287291080140e-06
1.687999999999999917e-02	8.516750000000000069e-05	5.159061809088938598e-06
1.680999999999999855e-02	8.466500000000001694e-05	3.776198485249418442e-06
1.674000000000000141e-02	8.594500000000000468e-05	6.673044657425870374e-06
1.667000000000000079e-02	8.941499999999999687e-05	6.165827195113405832e-06
1.660000000000000017e-02	8.844000000000000028e-05	5.600973129733792763e-06
1.652999999999999955e-02	9.051499999999999650e-05	5.832771639623823262e-06
