# nm	H2O	CCl4	Na+	Cl-	DDC.C12	DDC.C11	DDC.C10	DDC.C9	DDC.C8	DDC.C7	DDC.C6	DDC.C5	DDC.C4	DDC.C3	DDC.C2	DDC.HG
# 
-1.140544514789484598e+00	9.826018286634343735e-01	4.755257834374999578e-04	1.670235527712499862e-02	2.198529392996875081e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.120544514789484802e+00	9.787625605394281170e-01	5.994321011093748904e-04	1.801468319175624638e-02	2.060546376699999571e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.100544514789484785e+00	9.782470056556812343e-01	3.991195016874999452e-04	1.726904233117031173e-02	2.014552037934374748e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.080544514789484767e+00	9.831665772653686020e-01	5.830968567500000076e-04	1.908840603099999644e-02	2.111140149342187466e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.060544514789484749e+00	9.885320952988342347e-01	7.062503258437498321e-04	1.709008852462968325e-02	2.203128826873437460e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.040544514789484731e+00	9.827252098423030491e-01	4.295314446718749828e-04	1.879014968676562258e-02	2.212327694626562216e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
-1.020544514789484714e+00	9.783260754100966405e-01	8.442333421406249738e-04	1.714973979347655941e-02	1.986955434674999785e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.227016478124999051e-05
-1.000544514789484696e+00	9.844809545420281083e-01	5.371025179843749242e-04	1.777607811636874521e-02	2.203128826873437113e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.302688637499999638e-05
-9.805445147894845670e-01	9.846439646425528824e-01	8.909805294843750568e-04	1.935683674081093569e-02	2.249123165639062283e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.452970511562499869e-04
-9.605445147894845492e-01	9.821259603034061536e-01	7.366622688281249240e-04	1.962526745062187147e-02	1.867370153884374828e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.307644659374999791e-06	1.660537727499999928e-04
-9.405445147894845315e-01	9.876728242636594324e-01	8.301566435156248732e-04	1.873049841791874989e-02	2.019151471810937473e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.307644659374999791e-06	1.764618427187499700e-04
-9.205445147894846247e-01	9.827194995837873481e-01	9.206396238906249321e-04	1.929718547196405953e-02	1.973157133045312303e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.230578637500000010e-06	3.218183122187499596e-04
-9.005445147894846070e-01	9.857336097297466626e-01	6.758383828593749571e-04	2.046038521447812036e-02	1.991554868551562510e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.538223296874999589e-06	3.892628028124999915e-04
